X Y Z
-44.25 -119.75 -156.8125
-44.5625 -119.3125 -156.1875
-44.6875 -119.375 -156.5
-44.6875 -119.5 -156.4375
-44.6875 -119.3125 -156.625
-44.75 -119.3125 -156.5625
-44.8125 -119.375 -156.9375
-44.4375 -119.75 -156.5625
-44.5625 -119.5 -157.0
-44.375 -120.0 -157.125
-44.375 -119.4375 -156.9375
-44.375 -119.5625 -156.8125
-44.6875 -118.875 -156.375
-44.9375 -119.1875 -156.4375
-44.875 -118.6875 -156.4375
-45.0625 -119.0625 -156.5625
-44.9375 -119.25 -156.75
-45.0625 -119.125 -156.875
-44.9375 -119.0 -156.6875
-44.9375 -119.25 -156.4375
-44.625 -119.1875 -156.6875
-44.5625 -119.1875 -156.8125
-44.3125 -119.4375 -157.1875
-44.1875 -119.25 -156.8125
-44.1875 -118.9375 -156.8125
-44.625 -119.0 -156.5625
-44.8125 -118.75 -156.375
-45.0 -118.5 -156.375
-44.9375 -118.875 -156.75
-45.125 -119.1875 -156.625
-44.75 -119.4375 -157.0
-44.8125 -119.9375 -156.875
-44.5625 -120.4375 -156.8125
-44.5625 -120.3125 -156.6875
-44.5 -120.4375 -157.25
-44.75 -120.125 -157.0625
-44.625 -120.125 -156.875
-44.625 -119.875 -156.4375
-44.9375 -119.875 -156.875
-44.75 -119.625 -156.8125
-44.5 -119.5625 -156.8125
-44.4375 -119.6875 -157.0625
-44.5625 -119.8125 -157.4375
-44.375 -119.875 -157.3125
-44.625 -119.875 -157.375
-44.75 -120.1875 -157.375
-45.0625 -119.9375 -157.0625
-45.0625 -119.8125 -157.0
-45.0 -119.875 -156.5625
-44.9375 -120.125 -156.4375
-44.9375 -120.0 -156.25
-44.6875 -120.0625 -156.5625
-44.875 -119.75 -156.375
-45.0625 -119.9375 -156.4375
-44.875 -119.75 -156.4375
-44.625 -120.0625 -156.6875
-44.6875 -119.9375 -156.625
-44.3125 -120.375 -156.8125
-43.9375 -120.125 -157.1875
-44.125 -119.75 -157.125
-44.4375 -119.375 -156.875
-44.25 -119.5 -156.6875
-44.0 -119.3125 -156.875
-44.0 -119.4375 -156.75
-44.1875 -119.625 -157.0625
-43.8125 -119.625 -157.375
-44.125 -119.5 -157.375
-44.3125 -119.3125 -157.375
-44.125 -118.9375 -157.25
-44.0 -118.75 -156.875
-44.25 -118.75 -156.6875
-44.25 -118.4375 -156.9375
-44.0625 -118.5 -157.0
-44.5625 -119.0 -157.0625
-44.5 -119.125 -157.1875
-44.25 -119.125 -156.9375
-44.0 -119.0625 -156.9375
-44.0 -118.9375 -156.5625
-44.0 -119.0 -156.3125
-44.0 -119.0625 -156.375
-44.125 -119.5 -157.125
-44.5 -119.8125 -157.0
-44.6875 -120.0625 -157.5
-44.5625 -119.6875 -157.5
-44.6875 -119.6875 -157.875
-44.9375 -119.1875 -157.3125
-44.625 -119.3125 -157.1875
-45.125 -119.25 -157.125
-45.1875 -119.4375 -157.125
-45.125 -119.5 -156.875
-44.75 -119.3125 -156.9375
-44.9375 -119.1875 -157.125
-44.6875 -119.3125 -157.0
-44.625 -119.375 -156.9375
-44.5625 -119.25 -157.0
-44.875 -119.5 -157.1875
-44.6875 -119.4375 -157.125
-44.625 -119.25 -157.3125
-44.8125 -119.0625 -157.5625
-44.8125 -119.5625 -157.0
-44.5625 -119.3125 -156.75
-44.875 -119.125 -156.75
-44.5625 -119.375 -156.6875
-44.1875 -118.75 -156.375
-44.25 -117.8125 -156.625
-44.3125 -118.125 -156.25
-44.3125 -118.375 -156.25
-44.25 -118.0625 -156.0
-44.75 -118.6875 -156.0625
-44.5625 -119.5 -156.3125
-44.5 -119.5625 -156.3125
-44.4375 -119.875 -156.375
-44.75 -119.9375 -156.1875
-44.4375 -120.0625 -156.375
-44.5 -120.125 -156.1875
-44.5625 -120.0625 -156.4375
-44.3125 -119.5625 -156.125
-44.0625 -119.5625 -156.4375
-44.125 -119.3125 -156.25
-44.4375 -119.375 -156.4375
-44.25 -119.3125 -156.5
-44.1875 -119.4375 -156.9375
-44.4375 -119.5 -157.0625
-44.25 -119.8125 -157.1875
-43.75 -119.4375 -157.0
-43.6875 -119.1875 -157.0
-43.8125 -119.625 -157.0625
-43.625 -119.625 -156.8125
-43.8125 -119.3125 -156.875
-44.0625 -119.5 -157.0
-43.875 -120.0625 -157.0
-44.125 -119.5625 -157.0
-44.125 -119.75 -157.1875
-44.0625 -120.125 -157.125
-43.875 -119.6875 -157.0
-43.9375 -119.3125 -157.0
-43.8125 -119.5 -157.0
-43.8125 -119.5 -156.5625
-43.9375 -119.3125 -156.3125
-44.0 -119.5 -156.375
-44.5 -119.3125 -156.125
-44.5625 -118.875 -156.0
-44.875 -118.8125 -156.5625
-44.75 -118.625 -156.75
-44.8125 -118.75 -156.5
-44.6875 -119.0625 -156.625
-44.5625 -119.0 -156.9375
-44.3125 -118.8125 -157.0
-44.375 -118.8125 -156.8125
-44.5 -118.75 -156.9375
-44.625 -118.625 -157.1875
-44.625 -118.75 -157.0
-44.5625 -118.8125 -156.4375
-44.375 -118.875 -156.625
-44.0 -118.625 -156.625
-43.6875 -118.8125 -156.5625
-43.9375 -118.75 -156.3125
-43.75 -118.75 -156.4375
-43.9375 -118.75 -156.5
-44.0625 -119.0 -156.25
-44.1875 -118.75 -156.125
-44.0625 -118.8125 -156.3125
-44.25 -118.9375 -156.25
-44.25 -118.9375 -156.375
-44.5 -118.75 -156.875
-44.625 -119.0 -157.25
-44.5625 -119.3125 -157.375
-44.4375 -119.5 -157.625
-44.125 -119.625 -157.25
-43.9375 -119.5625 -156.8125
-43.6875 -119.0625 -156.5625
-44.0 -118.875 -156.25
-44.0625 -118.875 -156.25
-44.4375 -118.6875 -156.25
-44.75 -119.125 -156.375
-44.6875 -119.4375 -156.0
-45.0625 -119.625 -155.9375
-45.0625 -119.25 -155.6875
-45.1875 -119.0 -155.8125
-45.0625 -118.75 -155.75
-45.375 -119.0625 -156.25
-45.0 -118.5 -156.0625
-45.125 -118.75 -156.1875
-45.0625 -119.0625 -156.4375
-44.9375 -119.0625 -156.5
